item,supplier,unit_cost_eur_net,qty,phase,mass_kg,link,description
RobStride 06 - proximal shoulder pitch/roll (2/arm) - RIGHT arm,Seeed / RobStride,200,2,Phase 1,1.286,https://www.seeedstudio.com/Robostride-06-Actuator-p-6668.html,"Axes: proximal shoulder pitch/roll, 2 per arm. RobStride PDF 2025-06-26 dimensions: OD 88 mm, length 49 mm. Weight: 0.621 kg. RobStride torque: 11 Nm rated, 36 Nm peak."
RobStride 06 - proximal shoulder pitch/roll (2/arm) - LEFT arm,Seeed / RobStride,200,2,Phase 3,1.286,https://www.seeedstudio.com/Robostride-06-Actuator-p-6668.html,"Axes: proximal shoulder pitch/roll, 2 per arm. RobStride PDF 2025-06-26 dimensions: OD 88 mm, length 49 mm. Weight: 0.621 kg. RobStride torque: 11 Nm rated, 36 Nm peak."
RobStride 00 - light shoulder yaw (1/arm) - RIGHT arm,Seeed / RobStride,116,1,Phase 1,0.323,https://www.seeedstudio.com/Robostride-00-Actuator-p-6664.html,"Axis: shoulder yaw, the most distal shoulder axis. RobStride PDF 2025-06-26 dimensions: OD 57 mm, length 51 mm. Weight: 0.310 kg. RobStride torque: 5 Nm rated, 14 Nm peak."
RobStride 00 - light shoulder yaw (1/arm) - LEFT arm,Seeed / RobStride,116,1,Phase 3,0.323,https://www.seeedstudio.com/Robostride-00-Actuator-p-6664.html,"Axis: shoulder yaw, the most distal shoulder axis. RobStride PDF 2025-06-26 dimensions: OD 57 mm, length 51 mm. Weight: 0.310 kg. RobStride torque: 5 Nm rated, 14 Nm peak."
RobStride 06 - elbow (1/arm) - RIGHT arm,Seeed / RobStride,200,1,Phase 1,0.643,https://www.seeedstudio.com/Robostride-06-Actuator-p-6668.html,"Axis: elbow, 1 per arm. RobStride PDF 2025-06-26 dimensions: OD 88 mm, length 49 mm. Weight: 0.621 kg. RobStride torque: 11 Nm rated, 36 Nm peak."
RobStride 06 - elbow (1/arm) - LEFT arm,Seeed / RobStride,200,1,Phase 3,0.643,https://www.seeedstudio.com/Robostride-06-Actuator-p-6668.html,"Axis: elbow, 1 per arm. RobStride PDF 2025-06-26 dimensions: OD 88 mm, length 49 mm. Weight: 0.621 kg. RobStride torque: 11 Nm rated, 36 Nm peak."
RobStride 00 - uniform 3-axis wrist: roll (1/arm) - RIGHT arm,Seeed / RobStride,116,1,Phase 1,0.323,https://www.seeedstudio.com/Robostride-00-Actuator-p-6664.html,"Axis: wrist roll, 1 per arm. RobStride PDF 2025-06-26 dimensions: OD 57 mm, length 51 mm. Weight: 0.310 kg. RobStride torque: 5 Nm rated, 14 Nm peak."
RobStride 00 - uniform 3-axis wrist: roll (1/arm) - LEFT arm,Seeed / RobStride,116,1,Phase 3,0.323,https://www.seeedstudio.com/Robostride-00-Actuator-p-6664.html,"Axis: wrist roll, 1 per arm. RobStride PDF 2025-06-26 dimensions: OD 57 mm, length 51 mm. Weight: 0.310 kg. RobStride torque: 5 Nm rated, 14 Nm peak."
RobStride 00 - uniform 3-axis wrist: pitch/yaw (2/arm) - RIGHT arm,Seeed / RobStride,116,2,Phase 1,0.647,https://www.seeedstudio.com/Robostride-00-Actuator-p-6664.html,"Axes: wrist pitch/yaw, 2 per arm. RobStride PDF 2025-06-26 dimensions: OD 57 mm, length 51 mm. Weight: 0.310 kg. RobStride torque: 5 Nm rated, 14 Nm peak."
RobStride 00 - uniform 3-axis wrist: pitch/yaw (2/arm) - LEFT arm,Seeed / RobStride,116,2,Phase 3,0.647,https://www.seeedstudio.com/Robostride-00-Actuator-p-6664.html,"Axes: wrist pitch/yaw, 2 per arm. RobStride PDF 2025-06-26 dimensions: OD 57 mm, length 51 mm. Weight: 0.310 kg. RobStride torque: 5 Nm rated, 14 Nm peak."
RobStride 05 - G1-Comp neck pan/tilt (2 axes),Seeed / RobStride,100,2,Phase 3,0.423,https://www.seeedstudio.com/Robostride-05-Actuator-p-6666.html,"Axes: G1-Comp neck pan/tilt. RobStride PDF 2025-06-26 dimensions: OD 46 mm, length 44 mm. Weight: 0.191 kg. RobStride torque: 1.6 Nm rated, 5.5 Nm peak."
"Inspire Robots RH56DFX-2L dexterous hand, left, without wrist",Reichelt Italia - ALREADY OWNED (lab),0,1,Phase 3,0.54,https://www.reichelt.com/it/it/shop/prodotto/rh56dfx_-_mano_robotica_destreggiata_senza_polso_sinistra-426921,"Left six-actuator dexterous hand without the Inspire wrist module. Six actuated DOF, 12 moving joints, 24 V supply, RS485 communication, 217.8 mm overall length, about 80.7 mm palm width and 0.540 kg mass."
"Inspire Robots RH56DFX-2R dexterous hand, right, without wrist",Reichelt Italia - ALREADY OWNED (lab),0,1,Phase 1,0.54,https://www.reichelt.com/it/it/shop/prodotto/rh56dfx_-_mano_robotica_destreggiata_senza_polso_destra-426913,"Right six-actuator dexterous hand without the Inspire wrist module. Six actuated DOF, 12 moving joints, 24 V supply, RS485 communication, 217.8 mm overall length, about 80.7 mm palm width and 0.540 kg mass."
"MEAN WELL RSP-3000-48 bench supply (48 V, 3000 W)",DigiKey,511.5,1,Phase 1,,https://www.digikey.com/en/products/detail/mean-well-usa-inc/RSP-3000-48/7706324,"Bench AC/DC supply: 230 VAC input to 48 VDC motor bus, up to 62.5 A / 3000 W. Size 278 x 177.8 x 63.5 mm, weight about 4.0 kg. Not carried onboard."
"Schuko mains cable -> free ends, H07RN-F 3G1.5, 3 m, IP44",Amazon (generic),8.2,1,Phase 1,,https://www.amazon.it/s?k=cavo+H07RN-F+3G1.5+spina+schuko,"Mains cable for the Mean Well AC input terminals: line, neutral and protective earth. Do not use an IEC C13 cord for this supply."
"Schneider XB4BS8442 - red 40 mm emergency stop, twist release, 1NC",RS Italia,31.04,1,Phase 1,0.07,https://it.rs-online.com/web/p/pulsanti-di-arresto-di-emergenza/7951306,Manual emergency-stop button. Its normally-closed contact drives the contactor coil circuit; pressing it drops the contactor and removes 48 V from the motors.
"TE Connectivity KILOVAC LEV100A5ANG - 100 A main DC contactor, 24 V coil",DigiKey / Mouser / Farnell,150.93,1,Phase 1,0.19,https://www.digikey.it/it/products/detail/te-connectivity-aerospace-defense-and-marine/LEV100A5ANG/2362833,"Only onboard high-current disconnect. The normally-open contactor removes battery power from all RobStride motor branches when the hardware e-stop opens its 24 V coil circuit. Body diameter 39.5 mm, mounting-flange width 46.3 mm, total height 57.96 mm; mass 0.190 kg."
Littelfuse BF1 142.5631.5702 - main fuse 70A 58VDC M5 for compact P45B battery,DigiKey,4.3,1,Phase 1,0.01,https://www.digikey.com/en/products/detail/littelfuse-inc/142-5631-5702/2515910,"Main slow-blow fuse on the positive line, as close as practical to the 48 V source. Protects the 25 mm2 trunk and is a more credible baseline for the selected compact 45 A continuous / 100 A maximum BMS pack than the previous 125 A fuse."
"Littelfuse 04980921GXM5 - inline MIDI/BF1 fuse holder, 58 VDC, with cover - main + right arm",Mouser,8,2,Phase 1,0.06,https://www.mouser.com/ProductDetail/Littelfuse/04980921GXM5?qs=aOs975IaWlkzQw1Up%2FmjHQ%3D%3D,Insulated inline fuse holder with cover and M5 hardware for the main fuse and branch fuses.
"Littelfuse 04980921GXM5 - inline MIDI/BF1 fuse holder, 58 VDC, with cover - legs",Mouser,8,2,Phase 2,0.06,https://www.mouser.com/ProductDetail/Littelfuse/04980921GXM5?qs=aOs975IaWlkzQw1Up%2FmjHQ%3D%3D,Insulated inline fuse holder with cover and M5 hardware for the main fuse and branch fuses.
"Littelfuse 04980921GXM5 - inline MIDI/BF1 fuse holder, 58 VDC, with cover - waist + left arm",Mouser,8,2,Phase 3,0.06,https://www.mouser.com/ProductDetail/Littelfuse/04980921GXM5?qs=aOs975IaWlkzQw1Up%2FmjHQ%3D%3D,Insulated inline fuse holder with cover and M5 hardware for the main fuse and branch fuses.
"Vishay Dale RHA050100R0FE02 - chassis precharge resistor, 100 ohm, 50 W",DigiKey,8.75,1,Phase 1,0.05,https://www.digikey.com/en/products/detail/vishay-dale/RHA050100R0FE02/15191925,"Panel-mounted precharge resistor. It charges the distributed DC-link capacitance of the 30 actuators and harness before the main contactor closes, reducing inrush current and arcing."
"CIT Relay A2K1CSQ24VDC1.6 - compact precharge relay, 24 V coil",DigiKey,6.1,1,Phase 1,0.04,https://www.digikey.com/en/products/detail/cit-relay-and-switch/A2K1CSQ24VDC1-6/16687908,"Precharge-branch relay: on enable it connects the 100 ohm resistor across the main contactor. After the measured bus reaches the required voltage, the LEV100 closes and bypasses the resistor."
[DESIGN DELIVERABLE - NOT A PURCHASE] SEQ-PWR-01 safety-chain and precharge wiring drawing,Project electrical documentation,0,1,Phase 1,,https://www.digikey.it/it/products/detail/te-connectivity-aerospace-defense-and-marine/LEV100A5ANG/2362833,"Hardware sequencing selected 2026-07-17, no custom PCB: 24 V safety fuse -> latching e-stop NC -> START button with CIT seal-in latch relay -> precharge CIT relay + H3YN-2 on-delay timer -> timer contact -> LEV100 coil. Pressing START begins precharge and the delay; the timer closes the LEV100 on an already-charged bus; releasing the e-stop never restarts the bus, only START does. The deliverable is the released wiring drawing: terminals, wire gauges and colours, TVS placement at all three coils, mounting of latch relay, timer socket and button, and the frozen timer setting."
"Schneider XB5AA31 - green 22 mm flush START pushbutton, momentary, 1NO",Schneider / RS / distributors,15,1,Phase 1,0.03,https://www.se.com/ww/en/product/XB5AA31/,"Manual START command of the motor-bus power-up sequence, mounted on the outer shell next to the e-stop. Pressing it energizes the seal-in latch, which starts precharge and the on-delay timer. Panel hole diameter 22 mm; same XB5 family as the selected e-stop."
"CIT Relay A2K1CSQ24VDC1.6 - START seal-in latch relay, 24 V coil",DigiKey,6.1,1,Phase 1,0.04,https://www.digikey.com/en/products/detail/cit-relay-and-switch/A2K1CSQ24VDC1-6/16687908,"Second unit of the same exact relay used for precharge, wired as a seal-in latch: START energizes the coil, one contact holds it in through the e-stop chain, and the latched node feeds the precharge relay coil and the timer. E-stop or loss of 24 V drops the latch, and the bus stays down until START is pressed again."
"Omron H3YN-2 DC24 - miniature multifunction on-delay timer relay, 24 VDC",DigiKey / Mouser / RS,40,1,Phase 1,0.05,https://www.digikey.com/en/products/result?keywords=H3YN-2%20DC24,"Brand-name on-delay element of the precharge sequence: powered from the latched node, it closes the LEV100 coil circuit only after the set delay, so the main contactor always closes on a precharged bus. Miniature MY-relay footprint, plugs into the PYF08A-E socket below; body about 21.5 x 28 x 42 mm plus socket."
Omron PYF08A-E - screw-terminal socket for H3YN-2 timer,DigiKey / Mouser / RS,5,1,Phase 1,0.03,https://www.digikey.com/en/products/result?keywords=PYF08A-E,"Screw-terminal socket for the plug-in H3YN-2 timer; DIN-rail or two-screw panel mounting. Timer plus socket stand about 80 mm tall: reserve about 25 x 35 x 80 mm standing, or lay the assembly flat."
Littelfuse 1.5KE33CA - bidirectional TVS for LEV100 and CIT 24 V coils,DigiKey,0.65,3,Phase 1,0.003,https://www.digikey.com/en/products/result?keywords=1.5KE33CA,"Transient suppressors mounted directly at the three 24 V coil terminals: LEV100 main contactor, CIT precharge relay and CIT START latch relay. They limit switch-off voltage spikes without the slow drop-out of a plain flyback diode, keeping e-stop opening fast."
"Eaton Bussmann 16220-2 - 2-pole distribution block, 175 A, 600 V AC/DC",DigiKey,65,1,Phase 1,0.151,https://www.digikey.com/en/products/detail/eaton-bussmann-electrical-division/16220-2/5449651,"Exactly one downstream insulated block splits the switched actuator bus into left leg, right leg, waist/neck, left arm and right arm branches. It is not duplicated: the unswitched battery tap for the WEHO compute rail is a simple protected branch upstream of the LEV100."
"Littelfuse BF1 142.5631.5702 - leg branch fuse, 70 A, 58 VDC, M5",DigiKey,4.3,2,Phase 2,0.02,https://www.digikey.com/en/products/detail/littelfuse-inc/142-5631-5702/2515910,"Two slow-blow fuses, one per leg, on the positive 16 mm2 branch cables."
"Littelfuse BF1 142.5631.5402 - waist/neck branch fuse, 40 A, 58 VDC, M5",DigiKey,4.3,1,Phase 3,0.01,https://www.digikey.com/en/products/detail/littelfuse-inc/142-5631-5402/2515916,Slow-blow fuse on the waist/neck positive 6 mm2 branch.
"Littelfuse BF1 142.5631.5302 - arm branch fuse, 30 A, 58 VDC, M5 - RIGHT arm",DigiKey,4.3,1,Phase 1,0.01,https://www.digikey.com/en/products/detail/littelfuse-inc/142-5631-5302/2515908,"Two slow-blow fuses, one per arm, on the positive 6 mm2 branch cables."
"Littelfuse BF1 142.5631.5302 - arm branch fuse, 30 A, 58 VDC, M5 - LEFT arm",DigiKey,4.3,1,Phase 3,0.01,https://www.digikey.com/en/products/detail/littelfuse-inc/142-5631-5302/2515908,"Two slow-blow fuses, one per arm, on the positive 6 mm2 branch cables."
Littelfuse 0FHM0002XP - waterproof inline MINI fuse holder for safety-control branch,DigiKey,9.75,1,Phase 1,0.03,https://www.digikey.com/en/products/detail/littelfuse-commercial-vehicle-products/0FHM0002XP/3427089,Inline fuse holder for the 24 V safety-control branch: the e-stop chain and the LEV100 contactor and CIT precharge-relay coil circuits.
"Littelfuse 0997002.WXN - MINI fuse for safety-control branch, 2 A, 58 VDC",DigiKey,0.95,1,Phase 1,0.001,https://www.digikey.com/en/products/detail/littelfuse-inc/0997002-WXN/701054,Dedicated fuse for the e-stop chain and the LEV100/CIT 24 V coil circuits.
Littelfuse 0FHM0002XP - waterproof input fuse holder for 24 V converter,DigiKey,9.75,1,Phase 1,0.03,https://www.digikey.com/en/products/detail/littelfuse-commercial-vehicle-products/0FHM0002XP/3427089,One input fuse holder for the selected WEHO WH-C482410 24 V converter. The compute rail remains upstream of the actuator contactor so Thor logs an e-stop event.
Littelfuse 0997015.WXN - 15 A 58 VDC MINI input fuse for 24 V converter,DigiKey,0.95,1,Phase 1,0.001,https://www.digikey.com/en/products/detail/littelfuse-inc/0997015-WXN/701060,"Input fuse for the selected 240 W converter. At 240 W, 42 V battery and 96% efficiency, worst-case continuous input is about 6.0 A."
"Littelfuse 0FHM0002XP - 24 V output branch fuse holders for Thor, hands and USB hub",DigiKey,9.75,3,Phase 1,0.09,https://www.digikey.com/en/products/detail/littelfuse-commercial-vehicle-products/0FHM0002XP/3427089,"Three protected 24 V outputs from the selected WEHO rail: one for Thor, one for both RH56DFX hands and one for the powered USB hub. The baseline e-stop opens only the motor contactor; Thor remains alive to log it."
Littelfuse 0997010.WXN - 10 A 58 VDC MINI fuse for Thor 24 V branch,DigiKey,0.95,1,Phase 1,0.001,https://www.digikey.com/en/products/detail/littelfuse-inc/0997010-WXN/701059,Dedicated output fuse between the 24 V rail and Thor Micro-Fit harness. Thor accepts up to 8 A at 9-28 V; use adequately sized conductors and keep the selected nvpmodel at or below 130 W.
Littelfuse 0997015.WXN - 15 A 58 VDC MINI fuse for both hands at 24 V,DigiKey,0.95,1,Phase 1,0.001,https://www.digikey.com/en/products/detail/littelfuse-inc/0997015-WXN/701060,"Output fuse feeding both RH56DFX hands from the shared WEHO 24 V rail. The RH56DFX manual lists 2 A maximum per hand at 24 V; 15 A leaves startup margin, but measure real simultaneous hand current before final fuse release."
Littelfuse 0997002.WXN - 2 A 58 VDC MINI fuse for powered USB hub at 24 V,DigiKey,0.95,1,Phase 2,0.001,https://www.digikey.com/en/products/detail/littelfuse-inc/0997002-WXN/701054,Output fuse for the Waveshare four-port industrial USB hub. Its maximum downstream USB budget is 25 W; 2 A at 24 V leaves conversion and startup margin.
"Bicycle Motor Works 48V 9Ah Molicel P45B compact battery, 13S2P, 45A/100A BMS",Bicycle Motor Works,358.7,1,Phase 1,2.27,https://www.bicyclemotorworks.com/product-page/48v-94ah-molicel-p45b-lithium-ion-ebike-battery,"Selected compact G1-energy battery format: 13S2P with 26 Molicel P45B 21700 cells, 46.8 V nominal, 54.6 V full, 9 Ah and 421.2 Wh. Integrated balancing/protection BMS, 45 A continuous / 100 A maximum, XT90-S anti-spark discharge and XT60 charge lead. Published envelope 165.1 x 101.6 x 76.2 mm (6.5 x 4 x 3 in); published mass is under 5 lb, so CAD/BOM conservatively use 2.27 kg."
"WEHO WH-C482410 enclosed DC/DC converter, 48 V to 24 V, 10 A, 240 W",WEHO (manufacturer direct),0,1,Phase 1,0.3,https://www.wehopower.com/product/48v-to-24v-10a-240w-dc-to-dc-converter,"Selected compact walking configuration: sealed non-isolated DC/DC from the 13S battery to a 24 V / 10 A / 240 W rail for Thor, the powered USB hub, low-power interfaces and, per user decision 2026-07-17, both RH56DFX hands. Envelope 74 x 74 x 32 mm; mass 0.300 kg; 160 mm flying leads."
RobStride USB-to-CAN Adapter Type-C (official debug tool),Seeed,15,1,Phase 1,,https://www.seeedstudio.com/Robostride-CAN-USB-Driver-Board-p-6708.html,"Bench tool for RobStride ID setup, zeroing, test and firmware update from a PC."
Waveshare USB TO 2CH RS485 isolated adapter for RH56DFX hands,Waveshare,15.74,1,Phase 1,0.05,https://www.waveshare.com/product/usb-to-2ch-rs485.htm,"Two independent isolated USB-to-RS485 channels, one per hand, based on FT2232HL. Linux-compatible interface between Thor and the two RH56DFX hand buses. Board size 81.9 x 54 x 32 mm."
Waveshare USB3.2-Gen1-HUB-4U powered industrial 4-port USB 3.2 hub,Waveshare / distributors,15.74,1,Phase 2,0.15,https://www.waveshare.com/usb3.2-gen1-hub-4u.htm,Compact powered hub for exactly three MKS CANable Pro interfaces plus the pelvis IMU. Input 7-36 VDC from the dedicated fused 24 V branch; four USB-A downstream ports and one USB-A upstream lead. Metal enclosure 86.0 x 47.8 x 27.6 mm; CAD mass budget 0.150 kg because the manufacturer does not publish mass.
"LINDY 36940 USB 2.0 Type-C to Type-B cable, 0.5 m, for dual RS485 adapter",Conrad / Reichelt / LINDY,4.79,1,Phase 1,,https://www.conrad.it/it/p/lindy-cavo-usb-usb-2-0-spina-usb-c-spina-usb-b-0-50-m-nero-36940-2842258.html,Direct data cable from one host-capable Thor USB-C port to the USB-B input of the Waveshare USB TO 2CH RS485 hand adapter. USB 2.0 is sufficient for the two RS485 channels; 0.5 m avoids a long cable coil inside the torso.
Seeed BCCA4011 - XT30 (2+2) straight/right-angle F-F 300 mm cable for leg RS06 motors,Seeed,7.4,4,Phase 2,0.14,https://www.seeedstudio.com/Power-Cable-XT30-2-2-Female-to-XT30-2-2-Female-300mm-p-6819.html,"Ready-made power + CAN cable for the four leg RS06 ankle motors. Two XT30 (2+2)-F ends, one straight and one 90-degree, 16 AWG power and 26 AWG signal wires."
Seeed BCCA4011 - XT30 (2+2) straight/right-angle F-F 300 mm cable for upper-body RS00/RS05/RS06 - RIGHT arm,Seeed,7.4,8,Phase 1,0.28,https://www.seeedstudio.com/Power-Cable-XT30-2-2-Female-to-XT30-2-2-Female-300mm-p-6819.html,"Ready-made power + CAN cable for the 17 integrated upper-body and neck actuators: RS06 x7, RS00 x8, RS05 x2."
Seeed BCCA4011 - XT30 (2+2) straight/right-angle F-F 300 mm cable for upper-body RS00/RS05/RS06 - left arm + waist/neck,Seeed,7.4,9,Phase 3,0.315,https://www.seeedstudio.com/Power-Cable-XT30-2-2-Female-to-XT30-2-2-Female-300mm-p-6819.html,"Ready-made power + CAN cable for the 17 integrated upper-body and neck actuators: RS06 x7, RS00 x8, RS05 x2."
AMASS XT30UW-F.G.Y - power-line connector for RS03/RS04,LCSC,0.26,10,Phase 2,0.01,https://www.lcsc.com/product-detail/C19268025.html,"Cable-side XT30 female connector for the nine selected RS03/RS04 motors: RS04 x6, RS03 hip yaw x2, RS03 waist roll x1. Qty 10 includes one spare."
JST GHR-02V-S - GH 1.25 mm 2-pin CAN housing for RS03/RS04,Conrad / DigiKey,0.05,10,Phase 2,0.01,https://www.conrad.com/en/p/jst-socket-housing-cable-gh-total-number-of-pins-2-contact-spacing-1-25-mm-ghr-02v-s-1-pc-s-1426140.html,Cable-side housing for CAN_H and CAN_L on the nine selected RS03/RS04 motors. Qty 10 includes one spare.
JST MINI-SSHL-002T-P0.2 - crimp contact for GHR-02V-S housing,DigiKey,0.21,20,Phase 2,0.02,https://www.digikey.com/en/products/detail/jst-sales-america-inc/MINI-SSHL-002T-P0-2/807861,Female crimp terminal for CAN_H/CAN_L wires inserted into the JST GH housing.
"Belden 9841NH - shielded 120 ohm CAN pair, LSZH, sold per metre (order 50 m)",Farnell Italia,425,1,Phase 2,,https://it.farnell.com/belden/9841nh/cable-rs-485-1-pair-lszh-per-m/dp/1891187,Shielded CAN data cable to cut for custom harnesses. The twisted pair carries CAN_H and CAN_L; topology should remain bus-like with short stubs.
